qid,query,orig_query
275997,"how many calories in a slice of ham
ham nutrition information
calories in cured meat
serving size for ham
nutritional content of ham slices
energy value of thinly sliced ham
ham fat content per serving
daily calorie intake from ham",how many calories are in a slice of ham
1062457,"why did franklin d roosevelt launch new programs during his first hundred days in office
franklin d roosevelt new deal programs
first hundred day initiatives
roosevelt administration reforms
new deal programs and policies
fdr's hundred day agenda
hundred day legislative push
roosevelt's early policy initiatives",why did franklin d roosevelt launch a new programs during his first hundred days in office
800318,string cheese incident string cheese band string cheese singer songwriters indie folk rock bands,what is string cheese incident
1062511,"office administrative assistant salary in alabama
office administrative support staff salary in alabama
administrative office manager salary in alabama
secretary salary in alabama
assistant to the office administrator salary in alabama
bureau of labor statistics administrative assistant salary in alabama
median office administrative assistant salary in alabama
average office administrative assistant salary in alabama",what is an office administrative assistant salary in alabama
838453,"What is the parent company of adidas
Perform query expansion on the given query
Enhance the query by adding additional contextually relevant terms that could help retrieve documents lacking direct lexical overlap with the original query
Add synonyms or related terms to broaden its scope 
what are companies owned by adidas group what is adidas parent company who owns adidas",what is the parent company for adidas
1062589,"What is an nslookup? 

what is nslookup
nslookup meaning
ns lookup
dns lookup
ip address lookup
dns server
domain name resolution 
server lookup
computer network basics 
networking fundamentals 
computing terminology",what is an nslookup
538309,volume of earth mass size diameter radius planet land area space geography science measurement data,volume of earth
1062603,"why did Italy invade Ethiopia in 1935
 why did fascist Italy attack Ethiopia in 1935
 what was the cause of the Italian invasion of Ethiopia in 1935
 why did Benito Mussolini's Italy invade Ethiopia in 1935
 Italian aggression against Ethiopia in 1935 
 Italian colonial expansion and its effects on Ethiopia in 1935",why did italy attack ethiopia in 1935
1094605,In chemical form what are subscripts telling you about molecular composition ratios in compounds?,in chemical form what do subscripts tell you
1062609,Nanohardness indentation scan,what is an nm hida scan
538333,voluntary muscle definition voluntary control over muscles skeletal muscle physiology muscular contraction force of will muscle action potential muscle function and movement,voluntary muscle definition
538340,voluntary paternity establishment florida adoption process parental rights paternity testing dna testing genetic testing child custody laws guardianship paternity disputes family law courts,voluntary paternity establishment florida
276208,how many calories burn during swimming exercise water aerobics aquatic sports endurance fitness calorie loss aquatic workout metabolism burning calories while swimming,how many calories burn during swimming
46040,"average thickness of paper, average weight of paper, paper density, paper thickness range, paper weight measurement",average thickness of paper
1062687,"commercial buildings definition
office buildings commercial properties business establishments places of commerce",commercial buildings definition
14151,age requirements for name change age restrictions on name changes minimum age for name change allowed ages for renaming name change process requirements legal age for name change,age requirements for name change
276298,"how many calories burn losing weight
how much energy expended on weight loss
calorie expenditure for reducing body fat
weight loss calorie deficit
burned calories per pound lost
metabolic rate and weight loss
energy consumption during dieting
calories burned in a day to lose weight
fat burning calories while exercising",how many calories do i burn to lose weight
1062744,what is an interest rate hurdle or threshold rate for investment projects or financing decisions in finance economics business management,what is an irr or hurdle rate
276329,"how many calories in strawberry jello dessert
how many calories in strawberry gelatin
calories in strawberry wiggly jello
strawberry jello nutrition information
strawberry dessert calorie count
jellied strawberry calorie content
calorie amount in strawberry pudding",how many calories do strawberry jello have
276338,"How many calories burn dancing
how much energy expended dancing
calories burned through dance exercise
energy loss while dancing
burning fat through movement
physical activity calorie expenditure
dance fitness calorie counter
exercise and calorie burn
movement based weight loss methods
fat burning exercises for beginners
dancing as a workout routine",how many calories do you burn by dancing
276348,"How many calories are burned during one hour of bodypump exercise
how many calories burn during a one-hour body pump workout
calories burned per hour doing body pump class
energy expenditure of a 1 hour body pump session
calorie loss from participating in a 60 minute body pump fitness class",how many calories do you burn during one hour of bodypump
1062784,what is an instant pot pressure cooker electric slow cooker multi-cooker,what is an insta pot
832508,What is MERV rating on air filters?,what is the merv rating on filters
1062928,evolutionary divergence of a species from another over time through geographical isolation resulting in distinct characteristics such as morphology genetic differences and reproductive barriers formation of new species through adaptation to different environments.,what is an example of speciation
1062961,What is an example of insight thinking in information retrieval?,what is an example of insight thinking
471850,Parkinsons disease symptoms depression anxiety mood disorder neurodegenerative disorders movement disorders Parkinsons disease dementia cognitive impairment motor dysfunction emotional regulation apathy motivation,parkinson s disease symptoms depression
576601,"What are pertrified trees
what are petrified trees
petrified tree fossil
tree fossils preserved
fossilized tree trunks
ancient petrified wood
petrified forest tree remains
tree stumps preserved in stone
fossilized ancient tree roots
petrified tree trunks found",what are upright pertrified trees
800987,What is a sunchokes root vegetable that grows underground also known as Jerusalem artichoke,what is sunchoke
1063177,"why did spock die in wrath of khan
spock death wrath of khan
khan spock death scene
vulcan death in star trek
khan spock confrontation
star trek wrath of khan movie plot
spock sacrifice to save humanity
khan and spock rivalry",why did spock die in wrath of khan
818798,what is the difference between a c corporation and an s corporation in terms of taxation benefits corporate taxes legal responsibilities financial reporting requirements for shareholders versus employees stock options employee stock ownership benefits corporate governance structure organizational structure tax implications on profits distributions to owners vs employees,what is the difference in a c corp or s corp
1063349,What is a covenant agreement contract promise obligation treaty pact alliance association partnership relationship mutual understanding duty loyalty commitment fidelity bond,what is an covenant
1063371,"aviation medical examiner, flight surgeon, aviation physician, air medical examiner, aeronautical medicine specialist",what is an aviation medical examiner
276979,"how many calories in a medium smoothie king drink
how many calories in a smoothie from smoothie king
calories in a medium size smoothie at smoothie king
smoothie king nutrition facts for medium size drinks
calories in a medium size frozen yogurt or fruit smoothie from smoothie king",how many calories in a medium smoothie king smoothie
1063461,What is an ATM mutation in genetics?,what is an atm mutation
1063478,columbus texas is located in hidalgo county columbus texas is a city in hidalgo county columbus texas population columbus texas demographics columbus texas map columbus texas location columbus texas usa columbus texas texas,columbus texas is in what county
14947,airport code mont tremblant near me canada airport code mont tremblant airport mont tremblant location canada airport close to mont tremblant,airport code mont tremblant
14963,airport clothing travel accessories luggage airline fashion travel style travel gear airport wear,airport outfit
539278,war guilt responsibility clause consequences reparations atonement restitution treaty obligations international law blame accountability,war guilt clause effect
15039,al baik food houston restaurants healthy eating options in houston best places for vegetarian cuisine in houston houston food trucks serving international cuisine fresh produce markets in houston local farmers markets near me,al baik food houston
801478,what is sweetfx a tool for optimizing video performance by reducing latency and increasing frame rate,what is sweetfx
15063,alabama central credit union routing number financial institution banking alabama state america us credit unions financial institutions america federal reserve america banks america financial services america loans america savings accounts america checkings accounts america money orders america prepaid cards america debit cards america credit cards america investment products america retirement plans america insurance america home loans america mortgages america auto loans america student loans america personal loans america business loans,alabama central credit union routing number
1063644,"What is an Amazon center for business
what is an amazon hub
amazon coworking space
Amazon office building
Amazon workspace",what is an amazon center
1063659,why did the supreme court expand incorporation of constitutional rights amendments bill of rights protections individual liberties civil rights cases landmark decisions,why did the supreme court expand the incorporation of the bill of rights
1063702,What is an advocacy project aimed at promoting social change through public awareness campaigns and community engagement efforts to drive policy reform and support marginalized groups.,what is an advocacy project
1063758,colors in code programming colors design coding color theory color palette software colors digital colors visual design,colors in code
1063765,"Act placement test is a standardized assessment used by music educators to evaluate students' ability to read music notation and perform musical tasks on an instrument, typically piano or keyboard. It is often administered as part of the college admissions process for music majors.",what is an act placement test
1063777,"what is an achilles tendon injury
what is a torn achilles tendon
achilles tendon rupture symptoms
achilles tendonitis treatment
injuries to the back of the ankle
tendinitis of the Achilles tendon
injury to the calf muscle
affecting the heel and ankle",what is an achilles heel injury
539601,Abraham Lincoln half black African American mixed race ancestry ethnicity heritage legacy history politics racial identity sociology demographics genealogy DNA ancestry testing family tree genetics science,was abraham lincoln half black
277459,how many calories in fried rice stir fry dish cooked rice leftovers chinese food nutrition information diet calorie count,how many calories in fried rice
1063892,"colorado routing number loveland colorado banking
colorado routing number loveland colorado bank accounts
routing numbers in loveland co
bank routing numbers in colorado
colorado banks with routing numbers loveland",colorado routing number loveland colorado
539648,was amelia earhart alone when she crashed her plane solo flight disappearance incident loss of contact around the world,was amelia earhart alone when she crashed
15382,aldridge pite melville ny telephone directory listings residential phone numbers business phone numbers local phone companies phone number lookup services,aldridge pite melville ny telephone number
1063974,"what is alloy c
alloy c definition
c alloy properties
alloy composition c
characteristics of alloy c
c alloy uses
properties of c alloy
alloying process for c
c alloy applications",what is alloy c
277556,how many calories in mahi mahi fish protein nutrition facts nutritional value of mahi mahi calories in grilled or baked mahi mahi calorie count for mahi mahi fillets diet information on mahi mahi and its caloric content daily calorie intake from cooking methods using mahi mahi,how many calories in mahi mahi
15441,"Alexia medical definition synonym: 

Medical condition
Healthcare
Disease
Illness
Syndrome
Malady
Ailment
Sickness
Affliction
Condition",alexia medical definition
801907,"table associated for draw originals in sap
Perform query expansion on the given query: table associated for drawing originals in sap
Enhanced query: table associated for drawing originals created by sap user or object
Additional terms: drawing table sap original document drawing creation",what is table associated for draw originals in sap
277623,"how many calories in a fried oyster
how many calories in deep-fried oysters
fried oyster nutrition
oyster calorie count
calories in seafood fried oysters
seafood nutritional information fried oysters
fried seafood calorie content
oyster fat content",how many calories in one fried oyster
277632,"how many calories in a large baked potato
how many calories in a big potato
potato calorie count
baked spud nutrition
spud nutritional value
calories in potatoes",how many calories in one large baked potato
1007473,sediments originate from elements in seawater that precipitate out of solution sediment formation chemical precipitation marine minerals oceanic deposits coastal sediments mineral deposits geochemical processes,sediments originate from elements in seawater that precipitate out of solution
277701,"how many calories in publix chicken tender at subway
publix chicken tenders nutrition information
subway nutrition publix chicken tenders
chicken tender nutrition facts publix
calories in publix chicken tender sandwich subways
publix chicken tender nutrition data",how many calories in publix chicken tender subway
1064140,"why babies resist sleep
why infants fight sleep
babies who refuse to sleep
sleep refusals in infants
infants resistant to sleep
young childrens resistance to sleep",why do babies fight sleep
277737,"how many calories in vodka skyy
vodka skyy nutrition information
calories in skyy vodka shots
skyy vodka carb content
vodka skyy sugar content
alcohol by volume of skyy vodka",how many calories in skyy vodka
1019649,what studies have investigated the effects of brain injury on New York Mets players,what study for mets to brain
15607,first congress acts 1789 legislation founding of united states,all of the following were created by the first congress in 1789
1064195,aircraft ram air turbulence drag reduction supersonic flight aerodynamics lift enhancement high speed aircraft performance control systems airflow management,what is aircraft ram air
1064206,urine color yellow pigment bilirubin urine test result medical diagnosis kidney function liver disease jaundice amylase levels uric acid levels creatinine levels cystine levels,color of urine
277785,"How many calories in one tablespoon of butter
how many calories are in a tablespoon of unsalted butter
calories per serving of melted butter
tablespoon calorie content of salted and unsalted butter",how many calories in tbsp of butter
277799,"how many calories in homemade tomatillo sauce recipe
how many calories in fresh tomatillo salsa
tomatillo green chile nutrition information
calories in roasted tomatillos with garlic and oregano
heat level of tomatillo sauce with jalapeno peppers added
nutritional content of canned tomatillo sauce",how many calories in tomatillo sauce
539957,was emily kinney in harry potter cast actress actress from harry potter movies emily kinney movie roles actresses in harry potter films emily kinney filmography,was emily kinney in harry potter
277977,How many calories are in McDonalds chicken nuggets fried chicken nuggets fast food nutrition information calorie count diet menu foods high calorie foods,how many calories mcdonalds chicken nuggets
1064473,adventure time cartoon show fantasy animation series post-apocalyptic world Finn Jake Marceline Lumpy Space Princess Land of Ooo magical creatures monsters supernatural events coming-of-age themes comedy humor satire science fiction,what is adventure time
278074,How many calories should be consumed at each meal daily for weight loss maintenance healthy eating plan calorie intake guidelines food portion control nutrition advice diet recommendations meal frequency.,how many calories should be consumed at each meal
802372,tarragon sauce tarragin herb french cooking condiment herb sauce herb paste French cuisine savory sauce herby flavoring,what is tarragon sauce
1064518,"Why do eyelids sag
eyelid drooping
droopy eyelids
lowered eyelid
aging eyelids
eyelid weakness
weakness in eyelids
dry eyes
fatty deposits under the eye
puffiness under the eye
allergies and puffiness",why do eyelids sag
1064529,adipocere decomposition corpse body fat human remains putrefaction mummification fossilization natural preservation dead skin fatty tissue cadaveric fat body fat conversion flesh decayed organic material,what is adipocere
832790,what is the minimum space required for a full bathroom including toilet sink shower bathtub and storage area what are the essential fixtures and features needed for a functional full bathroom how much square footage is needed for each fixture in a standard full bathroom,what is the minimum area needed for a full bathroom
540306," Ferdinand Magellan was killed in the Philippines but his ships were the first to circumnavigate the globe. 
  Ferdinand Magellan led the expedition that sailed around the world.
 Ferdinand Magellan's voyage was a historic journey across oceans.
 Ferdinand Magellan and his men navigated uncharted waters.
 Ferdinand Magellan crossed vast distances at sea.
 Ferdinand Magellan explored new lands by sea.
 Ferdinand Magellan set sail for Asia in search of riches.",was killed in the philippines but his ships were the first to circumnavigate the globe
253678,"how long does credit collections stay on your report
how long does negative information stay on a credit score
how long does collections affect credit
length of time for collections to be removed from credit
time frame for collections to come off credit reports
duration of negative marks on credit report
how long do collections remain on your credit history",how long does it take for collections to come off credit report
1064687,"Actifed is used for treating coughs in adults and children over six years old, especially during colds and flu.",what is actifed used for
540432,Was Michael Jordan a Boy Scout Cub,was michael jordan a cub scout
540456,was mulan based on a true story about ancient china history legend folklore chinese mythology martial arts film adaptation historic inspiration historical accuracy,was mulan based on a true story
802634,What is TCP chemical compound,what is tcp chemical
1064808,what is acantholysis skin disease cellular separation keratinocyte detachment autoimmune blistering disorders skin conditions keratinocyte disorder epidermal separation,what is acantholysis
1064852,"why do i need short term disability insurance benefits
what is short term disability insurance for employees
importance of having short term disability insurance coverage
what happens if i dont have short term disability insurance
short term disability insurance policy options and costs
benefits of purchasing individual short term disability insurance
can i get short term disability insurance through my employer
how to choose the right short term disability insurance plan",why do i need short term disability insurance
278429,"how many carbs can a type 2 diabetic have per day
carbohydrate intake for diabetics daily limits 
daily carb limit for people with diabetes 
daily carbohydrate allowance for type two diabetes patients 
diabetic daily carb count guidelines 
type 2 diabetes management and carbohydrate restriction 
carb counting for diabetics daily goals 
what is the recommended daily carbohydrate intake for a person with type 2 diabetes",how many carbs can a type 2 diabetic have per day
1094996,how tall is Tacko Fall basketball player height tallest center in nba,how tall is tacko fall
1064961,collages definition art forms collages artworks mixed media collaged images artwork collage arts visual arts creative expression artistic mediums artistic techniques artistic styles,collages definition
278542,how many carbs in a quest bar protein bar nutrition information carb content in quest bar nutrition facts for quest bars how many grams of carbohydrates are in a quest bar what is the carbohydrate count in a quest bar nutrition label,how many carbs in a quest bar
1065032,"why mice self mutilate
mice eating themselves
self destructive behavior in mice
mouse cannibalism",why do mice eat themselves
278606,How many carbs in whipped topping or lightened up dessert topping or sugar free canned whipped cream,how many carbs in cool whip
278658,"how many carbs in one cup of cooked white quinoa
how many carbs in one cup of whole grain quinoa
quinoa nutritional information per serving
carb content of cooked quinoa vs uncooked
glycemic index of quinoa and its carb count
health benefits of eating quinoa with high carb content",how many carbs in one cup of cooked quinoa
1065118,Why do my eyes have mucus discharge or excessive tearing?,why do my eyes have mucus
16559,american car museum in tacoma wa automotive history museum in tacoma washington state car museum tacoma tacoma car exhibit automobile museum in tacoma wa classic cars exhibited in tacoma washington state car enthusiast destination car museum near me,american car museum in tacoma wa
1065160,"What is a wrongful act for directors and officers
what constitutes a wrongful act in corporate governance
laws governing officer misconduct
director liability for breach of fiduciary duty
scope of director and officer liability
act of ultra vires conduct
wrongful acts by board members
corporate law regarding officer misconduct",what is a wrongful act for directors and officers
540906,the great wall of china was breached by nomadic tribes such as the xiongnu and mongols throughout its history,was the great wall of china breached
1065227,"Why do Neptune and Uranus appear blue
why are neptune and uranus icy blue
neptune and uranus gas giant color
blue color of neptune and uranus explained
why is the sky on Neptune and Uranus blue
color science behind neptune and uranus appearance
blue hue of neptune and Uranus atmosphere",why do neptune and uranus appear blue
540983,was the philippines a us territory in american history colonial empire asian nations southeast asia territories overseas dominion commonwealth republic of the philippines,was the philippines a us territory
278863,How many career games did Paul Krause play in the NFL as a defensive back for the Minnesota Vikings?,how many career games did paul krause play in the nfl
1095059,average temperatures santa monica ca march average temperature santa monica california weather in march santa monica beach temperatures march avg temperature santa monica coastal weather march santa monica monthly weather stats,average temperatures santa monica ca march
803237,what is terminal velocity for humans how fast can a person fall before they stop accelerating due to gravity human terminal velocity body density air resistance drag coefficient falling speed maximum descent rate,what is terminal velocity for humans
541135,"was there a true bagger vance
true bagger vance
baggage claim baggage handler
vance true story
founder of baggage handling 
vance baggage company",was there a true bagger vance
